"frist-name","last-name","birth-date","state","salary","social-class"
"Enola","Torp","29/1/1975","Missouri","6,231.29","A"
"Leoma","Prohaska","21/6/1969","North Carolina","13,527.94","C"
"Gary","Kertzmann","29/1/1989","Missouri","14,595.13","B"
"Alverta","Medhurst","14/6/1995","New Jersey","1,922.28","B"
"Ben","Runolfsson","6/9/1951","Maine","10,487.14","C"
"Reagan","Connelly","15/5/1994","New Jersey","11,618.99","C"
"Merna","Herman","4/8/1964","Washington","11,995.93","B"
"Lawrence","Price","29/5/1979","Rhode Island","5,400.93","B"
"Albertina","Bartoletti","6/9/1952","Oregon","17,337.27","B"
"Mathew","Nitzsche","2/3/1969","Florida","14,736.78","C"
"Roberto","Schamberger","9/11/1951","Massachusetts","5,250.17","C"
"Luther","Hintz","23/1/1965","Wyoming","14,138.46","C"
"Dottie","Kuhlman","28/8/1968","Alaska","2,261.15","C"
"Willy","Mayer","14/5/1982","North Dakota","4,439.93","C"
"Margret","Smith","29/10/1991","Indiana","8,932.72","A"
"Roxana","Beer","27/2/1987","North Dakota","1,261.27","A"
"Launa","Bayer","11/5/1953","Kentucky","3,313.85","C"
"Mitzi","Stoltenberg","26/5/1968","New Hampshire","12,998.64","C"
"Lu","Oberbrunner","11/3/1985","West Virginia","10,441.53","C"
"Cleora","Will","20/8/1988","North Carolina","16,521.18","C"
"Elijah","Terry","14/11/1991","Kentucky","9,444.59","A"
"Nichole","Reichel","7/3/1951","Wisconsin","16,767.72","C"
"Virgil","O'Reilly","23/5/1960","Idaho","5,037.70","B"
"Jonathan","Donnelly","3/5/1988","Nevada","15,826.57","C"
"Karri","Auer","5/7/1973","West Virginia","2,101.14","C"
"Mirella","McGlynn","25/2/1957","Connecticut","7,602.77","A"
"Dewey","Schaefer","7/10/1996","Rhode Island","10,177.63","A"
"Dirk","Ward","30/8/1969","Alabama","2,879.36","A"
"Markita","Kris","20/6/1954","Pennsylvania","14,810.77","C"
"Derek","Mraz","28/11/1957","Arkansas","15,558.83","A"
"Gwyneth","Will","3/1/1955","Montana","17,352.51","C"
"Randal","Gislason","16/10/1980","Maine","11,021.65","A"
"Grayce","Torphy","2/6/1966","Wisconsin","8,501.35","A"
"Denny","Toy","26/7/1971","Indiana","1,300.87","C"
"Chu","Hettinger","11/2/1984","Pennsylvania","8,145.77","B"
"Lucy","Fritsch","20/8/1995","North Dakota","16,883.12","C"
"Melba","Medhurst","15/3/1990","Kentucky","15,993.54","C"
"Eneida","Fay","20/9/1989","New Jersey","10,189.88","C"
"Orval","Johnston","8/3/1969","Louisiana","16,807.89","A"
"Nakisha","Kuvalis","19/9/1979","Wyoming","18,751.54","C"
"Thu","Senger","7/3/1993","Wisconsin","12,355.33","A"
"Clay","Kautzer","31/9/1995","Virginia","14,886.30","A"
"Anh","Gutmann","17/5/1983","North Dakota","11,330.49","A"
"Esteban","Bednar","31/7/1976","Oregon","3,763.25","B"
"Micah","Pfannerstill","29/8/1967","Connecticut","4,665.20","C"
"Yolande","Hegmann","16/9/1953","Wisconsin","3,533.95","A"
"Arturo","Gulgowski","4/8/1952","Rhode Island","19,778.33","A"
"Britany","Ortiz","19/11/1978","Illinois","3,029.30","B"
"Booker","Boyle","24/3/1963","California","10,177.84","C"
